date,day_of_week,is_weekend,is_holiday,average_temperature,marketing_spend,revenue,month,day_of_month
2023-04-05,Wednesday,0,False,61,29.07,918.7,4,5
2023-04-06,Thursday,0,False,50,23.55,756.49,4,6
2023-04-07,Friday,0,False,67,12.43,664.77,4,7
2023-04-08,Saturday,1,False,67,21.24,914.71,4,8
2023-04-09,Sunday,1,False,65,14.76,969.64,4,9
2023-04-10,Monday,0,False,62,21.99,822.61,4,10
2023-04-11,Tuesday,0,False,50,34.11,931.66,4,11
2023-04-12,Wednesday,0,False,60,71.44,1567.3,4,12
2023-04-13,Thursday,0,False,61,7.46,594.28,4,13
2023-04-14,Friday,0,False,56,110.66,2121.85,4,14
2023-04-15,Saturday,1,False,63,4.21,737.86,4,15
2023-04-16,Sunday,1,False,69,17.79,966.73,4,16
2023-04-17,Monday,0,False,83,32.16,1009.87,4,17
2023-04-18,Tuesday,0,False,66,25.15,851.46,4,18
2023-04-19,Wednesday,0,False,67,12.2,675.25,4,19
2023-04-20,Thursday,0,False,64,17.0,636.9,4,20
2023-04-21,Friday,0,False,45,13.54,567.34,4,21
2023-04-22,Saturday,1,False,64,12.53,903.29,4,22
2023-04-23,Sunday,1,False,65,39.63,1326.7,4,23
2023-04-24,Monday,0,False,89,26.73,960.5,4,24
2023-04-25,Tuesday,0,False,63,11.54,695.93,4,25
2023-04-26,Wednesday,0,False,68,41.25,1143.31,4,26
2023-04-27,Thursday,0,False,64,25.68,1036.14,4,27
2023-04-28,Friday,0,False,53,38.49,1097.33,4,28
2023-04-29,Saturday,1,False,76,33.24,1175.2,4,29
2023-04-30,Sunday,1,False,72,10.35,778.47,4,30
2023-05-01,Monday,0,False,72,12.83,633.13,5,1
2023-05-02,Tuesday,0,False,55,36.52,1027.97,5,2
2023-05-03,Wednesday,0,False,79,32.73,995.13,5,3
2023-05-04,Thursday,0,False,50,19.75,680.14,5,4
2023-05-05,Friday,0,False,70,22.06,813.57,5,5
2023-05-06,Saturday,1,False,86,55.82,1496.22,5,6
2023-05-07,Sunday,1,False,55,12.51,892.01,5,7
2023-05-08,Monday,0,False,59,31.11,992.73,5,8
2023-05-09,Tuesday,0,False,65,17.09,755.95,5,9
2023-05-10,Wednesday,0,False,59,16.88,809.2,5,10
2023-05-11,Thursday,0,False,49,48.38,1181.57,5,11
2023-05-12,Friday,0,False,65,38.87,1039.99,5,12
2023-05-13,Saturday,1,False,54,38.51,1270.81,5,13
2023-05-14,Sunday,1,False,69,57.08,1545.15,5,14
2023-05-15,Monday,0,False,55,20.43,724.59,5,15
2023-05-16,Tuesday,0,False,80,34.66,1055.38,5,16
2023-05-17,Wednesday,0,False,57,15.67,667.27,5,17
2023-05-18,Thursday,0,False,61,26.03,809.31,5,18
2023-05-19,Friday,0,False,73,18.1,841.81,5,19
2023-05-20,Saturday,1,False,52,21.71,1032.12,5,20
2023-05-21,Sunday,1,False,67,32.33,1071.02,5,21
2023-05-22,Monday,0,False,78,10.44,723.75,5,22
2023-05-23,Tuesday,0,False,48,107.12,2023.27,5,23
2023-05-24,Wednesday,0,False,66,8.98,613.34,5,24
2023-05-25,Thursday,0,False,67,7.6,590.38,5,25
2023-05-26,Friday,0,False,72,50.73,1238.75,5,26
2023-05-27,Saturday,1,False,52,37.84,1181.03,5,27
2023-05-28,Sunday,1,False,51,33.09,1062.8,5,28
2023-05-29,Monday,0,False,70,33.2,1026.52,5,29
2023-05-30,Tuesday,0,False,67,19.89,801.84,5,30
2023-05-31,Wednesday,0,False,67,9.8,641.05,5,31
2023-06-01,Thursday,0,False,68,21.34,783.72,6,1
2023-06-02,Friday,0,False,58,11.68,625.36,6,2
2023-06-03,Saturday,1,False,67,43.82,1351.07,6,3
2023-06-04,Sunday,1,False,67,17.86,948.95,6,4
2023-06-05,Monday,0,False,57,10.38,582.82,6,5
2023-06-06,Tuesday,0,False,83,15.53,791.92,6,6
2023-06-07,Wednesday,0,False,69,27.95,968.82,6,7
2023-06-08,Thursday,0,False,53,12.79,572.38,6,8
2023-06-09,Friday,0,False,71,10.4,701.17,6,9
2023-06-10,Saturday,1,False,55,24.41,953.02,6,10
2023-06-11,Sunday,1,False,72,24.43,1065.98,6,11
2023-06-12,Monday,0,False,76,13.39,695.69,6,12
2023-06-13,Tuesday,0,False,56,13.78,589.46,6,13
2023-06-14,Wednesday,0,False,74,24.18,808.32,6,14
2023-06-15,Thursday,0,False,69,6.31,609.05,6,15
2023-06-16,Friday,0,False,73,6.51,634.64,6,16
2023-06-17,Saturday,1,False,83,11.3,828.28,6,17
2023-06-18,Sunday,1,False,62,16.93,926.88,6,18
2023-06-19,Monday,0,False,57,25.76,779.32,6,19
2023-06-20,Tuesday,0,False,56,65.38,1450.4,6,20
2023-06-21,Wednesday,0,False,56,39.89,1010.8,6,21
2023-06-22,Thursday,0,False,64,17.67,729.46,6,22
2023-06-23,Friday,0,False,68,19.78,808.07,6,23
2023-06-24,Saturday,1,False,67,9.01,748.13,6,24
2023-06-25,Sunday,1,False,73,19.79,951.62,6,25
2023-06-26,Monday,0,False,65,15.94,789.41,6,26
2023-06-27,Tuesday,0,False,79,26.0,903.16,6,27
2023-06-28,Wednesday,0,False,62,10.36,688.18,6,28
2023-06-29,Thursday,0,False,92,30.43,980.96,6,29
2023-06-30,Friday,0,False,71,68.46,1571.39,6,30
