application_date,business_age,annual_revenue,credit_score,loan_amount,existing_debt,debt_to_income_ratio,loan_to_income_ratio,default_probability,default,industry
2021-05-06,16.0,1971634,796.0,321328,181361,0.09,0.16,0.072,1,Services
2021-05-07,18.0,1932272,604.0,194177,162763,0.08,0.1,0.105,0,Services
2021-05-08,6.0,1720109,723.0,386544,36831,0.02,0.22,0.162,1,Manufacturing
2021-05-09,7.0,757831,608.0,307825,47859,0.06,0.41,0.28,1,Services
2021-05-10,17.0,1684882,692.0,219478,184278,0.11,0.13,0.082,0,Other
2021-05-11,5.0,348834,711.0,476255,1484,0.0,1.37,0.369,1,Services
2021-05-12,9.0,1469357,522.0,223864,91475,0.06,0.15,0.307,0,Other
2021-05-13,5.0,452926,516.0,119843,233607,0.52,0.26,0.617,1,Manufacturing
2021-05-14,9.0,1032192,565.0,485464,176004,0.17,0.47,0.38,1,Manufacturing
2021-05-15,13.0,1567170,508.0,179429,78135,0.05,0.11,0.338,1,Manufacturing
2021-05-16,17.0,992923,767.0,82198,48708,0.05,0.08,0.043,0,Retail
2021-05-17,3.0,1574473,842.0,217873,44814,0.03,0.14,0.033,0,Manufacturing
2021-05-18,4.0,1076912,844.0,480903,241695,0.22,0.45,0.143,0,Manufacturing
2021-05-19,11.0,1958206,696.0,443760,14455,0.01,0.23,0.25,0,Retail
2021-05-20,6.0,1643208,791.0,377743,30516,0.02,0.23,0.055,0,Other
2021-05-21,11.0,168829,656.0,110215,145527,0.86,0.65,0.508,1,Services
2021-05-22,4.0,1348794,793.0,362775,102257,0.08,0.27,0.0,0,Other
2021-05-23,15.0,524200,580.0,488229,189645,0.36,0.93,0.568,1,Manufacturing
2021-05-24,7.0,434698,709.0,457051,122406,0.28,1.05,0.714,1,Manufacturing
2021-05-25,13.0,1602299,638.0,182373,256312,0.16,0.11,0.192,0,Services
2021-05-26,11.0,1837373,769.0,170353,215890,0.12,0.09,0.123,1,Manufacturing
2021-05-27,19.0,1128351,538.0,59996,205277,0.18,0.05,0.432,1,Services
2021-05-28,13.0,1854735,652.0,328284,172468,0.09,0.18,0.106,0,Retail
2021-05-29,18.0,1105653,756.0,346033,68704,0.06,0.31,0.068,0,Other
2021-05-30,18.0,1956170,601.0,432159,91056,0.05,0.22,0.309,1,Other
2021-05-31,10.0,1067497,696.0,177723,283326,0.27,0.17,0.058,0,Other
2021-06-01,16.0,605145,631.0,101182,169066,0.28,0.17,0.254,1,Other
2021-06-02,1.0,1313919,515.0,402811,224761,0.17,0.31,0.51,1,Other
2021-06-03,3.0,226585,803.0,293656,61367,0.27,1.3,0.473,1,Other
2021-06-04,1.0,1483162,647.0,84721,190509,0.13,0.06,0.492,1,Retail
2021-06-05,18.0,1715012,763.0,165741,148490,0.09,0.1,0.044,0,Retail
2021-06-06,13.0,670855,712.0,25309,253777,0.38,0.04,0.205,0,Manufacturing
2021-06-07,3.0,764952,769.0,24556,222881,0.29,0.03,0.121,0,Retail
2021-06-08,8.0,1499020,522.0,283198,6307,0.0,0.19,0.422,1,Other
2021-06-09,13.0,1399340,539.0,345277,9227,0.01,0.25,0.503,1,Retail
2021-06-10,2.0,1017880,508.0,39210,277348,0.27,0.04,0.529,1,Services
2021-06-11,2.0,158213,763.0,435541,236019,1.49,2.75,1.0,1,Manufacturing
2021-06-12,7.0,598448,589.0,67412,272307,0.46,0.11,0.446,0,Other
2021-06-13,9.0,274657,814.0,442182,116690,0.42,1.61,0.413,0,Manufacturing
2021-06-14,13.0,1040428,597.0,328814,49059,0.05,0.32,0.339,1,Manufacturing
2021-06-15,1.0,76681,814.0,180464,78414,1.02,2.35,0.688,1,Manufacturing
2021-06-16,5.0,697421,581.0,375691,58028,0.08,0.54,0.441,1,Other
2021-06-17,9.0,550805,833.0,497332,207227,0.38,0.9,0.344,0,Retail
2021-06-18,18.0,112752,618.0,216743,190714,1.69,1.92,1.0,1,Manufacturing
2021-06-19,1.0,1810514,792.0,202905,240186,0.13,0.11,0.119,0,Other
2021-06-20,7.0,1698848,633.0,372287,167449,0.1,0.22,0.301,1,Retail
2021-06-21,18.0,1322109,505.0,357490,81941,0.06,0.27,0.403,1,Manufacturing
2021-06-22,6.0,291161,679.0,50331,296313,1.02,0.17,0.49,1,Services
2021-06-23,8.0,1716527,652.0,375573,257843,0.15,0.22,0.317,1,Manufacturing
2021-06-24,14.0,1633426,667.0,44330,202348,0.12,0.03,0.187,0,Services
2021-06-25,2.0,1913779,720.0,176206,57392,0.03,0.09,0.078,0,Services
2021-06-26,18.0,1738238,723.0,433235,216843,0.12,0.25,0.143,1,Services
2021-06-27,15.0,892147,596.0,29774,180043,0.2,0.03,0.355,1,Other
2021-06-28,2.0,1514164,831.0,310205,122190,0.08,0.2,0.201,0,Other
2021-06-29,19.0,82297,666.0,282075,50991,0.62,3.43,0.95,1,Services
2021-06-30,7.0,1636780,733.0,409830,216175,0.13,0.25,0.093,0,Retail
2021-07-01,16.0,1379194,605.0,389392,174790,0.13,0.28,0.259,0,Other
2021-07-02,15.0,418732,544.0,413229,257555,0.62,0.99,0.636,1,Services
2021-07-03,13.0,1846371,778.0,335614,102237,0.06,0.18,0.142,1,Services
2021-07-04,12.0,893659,744.0,381584,112806,0.13,0.43,0.309,1,Manufacturing
2021-07-05,11.0,1218264,724.0,219902,88599,0.07,0.18,0.116,0,Other
2021-07-06,11.0,1008014,764.0,402911,221183,0.22,0.4,0.185,0,Services
2021-07-07,17.0,306045,699.0,198623,91468,0.3,0.65,0.286,0,Manufacturing
2021-07-08,17.0,1668771,518.0,24485,2877,0.0,0.01,0.318,0,Services
2021-07-09,7.0,131674,749.0,402044,96976,0.74,3.05,0.96,1,Manufacturing
2021-07-10,12.0,1761714,519.0,408835,90774,0.05,0.23,0.471,1,Services
2021-07-11,10.0,1806168,786.0,25651,95056,0.05,0.01,0.0,0,Retail
2021-07-12,9.0,1273782,657.0,304056,279590,0.22,0.24,0.227,0,Manufacturing
2021-07-13,18.0,790717,578.0,438288,161764,0.2,0.55,0.439,1,Retail
2021-07-14,13.0,178061,527.0,91780,32730,0.18,0.52,0.365,1,Other
2021-07-15,7.0,473146,826.0,325647,185619,0.39,0.69,0.299,1,Other
2021-07-16,19.0,1072062,740.0,491145,50115,0.05,0.46,0.084,0,Services
2021-07-17,14.0,766573,695.0,218319,258119,0.34,0.28,0.33,0,Manufacturing
2021-07-18,2.0,276058,598.0,309504,88783,0.32,1.12,0.531,1,Other
2021-07-19,6.0,1100778,681.0,27764,132624,0.12,0.03,0.204,1,Other
2021-07-20,12.0,1409635,848.0,280686,180342,0.13,0.2,0.017,0,Retail
2021-07-21,14.0,1944046,833.0,215904,17444,0.01,0.11,0.0,0,Retail
2021-07-22,5.0,381409,525.0,328511,136673,0.36,0.86,0.904,1,Services
2021-07-23,14.0,758868,683.0,145864,43365,0.06,0.19,0.239,1,Services
2021-07-24,10.0,1791346,633.0,258188,131569,0.07,0.14,0.356,1,Services
2021-07-25,11.0,1747963,579.0,280045,228336,0.13,0.16,0.33,0,Services
2021-07-26,13.0,1806486,600.0,445729,158602,0.09,0.25,0.363,0,Other
2021-07-27,12.0,623668,722.0,311039,83936,0.13,0.5,0.197,0,Other
2021-07-28,18.0,1011815,665.0,141620,249073,0.25,0.14,0.245,1,Retail
2021-07-29,7.0,606362,544.0,171181,247202,0.41,0.28,0.552,1,Manufacturing
2021-07-30,8.0,1573100,778.0,400316,272681,0.17,0.25,0.167,0,Retail
2021-07-31,19.0,1470297,785.0,261684,178598,0.12,0.18,0.2,0,Services
2021-08-01,18.0,1772270,844.0,453359,297514,0.17,0.26,0.154,0,Other
2021-08-02,19.0,1831961,820.0,367870,250112,0.14,0.2,0.108,1,Manufacturing
2021-08-03,17.0,1879190,843.0,52835,2700,0.0,0.03,0.0,0,Retail
2021-08-04,2.0,109196,528.0,57582,93196,0.85,0.53,0.909,1,Services
2021-08-05,5.0,1315119,653.0,217274,14240,0.01,0.17,0.267,0,Retail
2021-08-06,3.0,1577047,512.0,472477,231587,0.15,0.3,0.421,1,Retail
2021-08-07,10.0,1558789,654.0,117990,145103,0.09,0.08,0.213,0,Manufacturing
2021-08-08,4.0,1856799,669.0,223803,286361,0.15,0.12,0.217,1,Retail
2021-08-09,14.0,138170,685.0,94576,57051,0.41,0.68,0.289,1,Services
2021-08-10,3.0,421360,710.0,450220,31200,0.07,1.07,0.379,0,Services
2021-08-11,5.0,1298651,699.0,56146,199886,0.15,0.04,0.165,0,Services
2021-08-12,1.0,481578,663.0,488452,252140,0.52,1.01,0.564,1,Services
2021-08-13,11.0,1553917,526.0,321138,243418,0.16,0.21,0.354,1,Manufacturing
2021-08-14,5.0,911530,804.0,67221,80001,0.09,0.07,0.087,0,Retail
2021-08-15,4.0,280064,624.0,163818,204273,0.73,0.58,0.536,1,Manufacturing
2021-08-16,18.0,703175,845.0,458959,42497,0.06,0.65,0.057,0,Retail
2021-08-17,10.0,534840,636.0,130475,69014,0.13,0.24,0.398,0,Services
2021-08-18,2.0,1018216,782.0,215579,51984,0.05,0.21,0.0,0,Services
2021-08-19,6.0,1469352,759.0,396692,107315,0.07,0.27,0.23,0,Services
2021-08-20,7.0,1023890,834.0,356310,23564,0.02,0.35,0.0,0,Manufacturing
2021-08-21,11.0,545812,526.0,327367,150780,0.28,0.6,0.431,0,Services
2021-08-22,12.0,1261694,797.0,484047,227835,0.18,0.38,0.253,1,Other
2021-08-23,12.0,456585,678.0,414387,247364,0.54,0.91,0.476,1,Manufacturing
2021-08-24,15.0,789067,745.0,157108,8272,0.01,0.2,0.176,0,Retail
2021-08-25,3.0,1373263,724.0,85540,152147,0.11,0.06,0.23,0,Services
2021-08-26,2.0,1625487,785.0,106167,237093,0.15,0.07,0.156,1,Retail
2021-08-27,7.0,768363,760.0,107122,250699,0.33,0.14,0.175,1,Manufacturing
2021-08-28,3.0,260173,696.0,72993,91376,0.35,0.28,0.178,0,Other
2021-08-29,18.0,1780462,630.0,406528,92439,0.05,0.23,0.263,0,Manufacturing
2021-08-30,13.0,1814656,787.0,160621,38397,0.02,0.09,0.115,0,Services
2021-08-31,1.0,1937968,597.0,215410,280439,0.14,0.11,0.379,0,Services
2021-09-01,19.0,409639,790.0,357546,84970,0.21,0.87,0.107,1,Other
2021-09-02,7.0,859729,640.0,479997,31309,0.04,0.56,0.343,0,Services
2021-09-03,5.0,246088,501.0,29482,160764,0.65,0.12,0.535,1,Retail
2021-09-04,5.0,1004795,686.0,25353,4849,0.0,0.03,0.157,0,Retail
2021-09-05,14.0,1999778,614.0,234290,101312,0.05,0.12,0.272,1,Retail
2021-09-06,9.0,1501624,834.0,148788,222371,0.15,0.1,0.269,0,Manufacturing
2021-09-07,4.0,1519305,568.0,249404,112450,0.07,0.16,0.422,1,Retail
2021-09-08,1.0,1575573,783.0,179746,22732,0.01,0.11,0.09,1,Other
2021-09-09,2.0,1627518,785.0,334476,202668,0.12,0.21,0.374,1,Manufacturing
2021-09-10,10.0,1799731,771.0,260579,199082,0.11,0.14,0.0,0,Services
2021-09-11,6.0,1878711,601.0,15149,238491,0.13,0.01,0.424,0,Manufacturing
2021-09-12,4.0,1362811,800.0,420975,289219,0.21,0.31,0.287,1,Services
2021-09-13,3.0,1994036,802.0,114432,157870,0.08,0.06,0.2,1,Manufacturing
2021-09-14,10.0,1208346,542.0,93263,139722,0.12,0.08,0.246,0,Retail
2021-09-15,9.0,988317,600.0,491452,190078,0.19,0.5,0.424,0,Other
2021-09-16,4.0,1905095,674.0,237885,80949,0.04,0.12,0.3,1,Retail
2021-09-17,6.0,1953496,510.0,215844,122315,0.06,0.11,0.365,0,Retail
2021-09-18,9.0,1860498,724.0,226167,130762,0.07,0.12,0.032,0,Other
2021-09-19,10.0,1292141,774.0,371237,195191,0.15,0.29,0.267,1,Manufacturing
2021-09-20,5.0,277556,541.0,35434,245273,0.88,0.13,0.516,1,Manufacturing
2021-09-21,15.0,172208,701.0,291374,18906,0.11,1.69,0.437,1,Other
2021-09-22,8.0,1721875,797.0,260779,48737,0.03,0.15,0.0,0,Services
2021-09-23,2.0,546248,557.0,197510,38414,0.07,0.36,0.438,1,Other
2021-09-24,18.0,1144031,819.0,391285,256140,0.22,0.34,0.0,0,Services
2021-09-25,14.0,1179713,556.0,270651,126143,0.11,0.23,0.264,1,Manufacturing
2021-09-26,11.0,812350,657.0,282840,149211,0.18,0.35,0.161,1,Other
2021-09-27,8.0,448103,529.0,186772,189865,0.42,0.42,0.496,1,Retail
2021-09-28,14.0,618712,589.0,440161,132977,0.21,0.71,0.514,1,Retail
2021-09-29,9.0,1780618,810.0,142259,106256,0.06,0.08,0.25,0,Services
2021-09-30,9.0,912097,615.0,479483,144270,0.16,0.53,0.534,1,Retail
2021-10-01,15.0,430491,838.0,244056,153064,0.36,0.57,0.018,0,Retail
2021-10-02,3.0,796763,652.0,390876,240659,0.3,0.49,0.409,1,Retail
2021-10-03,7.0,120711,782.0,87692,43216,0.36,0.73,0.432,1,Retail
2021-10-04,6.0,1009381,668.0,14142,61316,0.06,0.01,0.215,0,Other
2021-10-05,11.0,1378323,824.0,167420,240834,0.17,0.12,0.0,0,Services
2021-10-06,8.0,624049,613.0,200550,19126,0.03,0.32,0.52,1,Services
2021-10-07,10.0,872730,741.0,122695,181122,0.21,0.14,0.157,1,Manufacturing
2021-10-08,9.0,101095,835.0,325238,33270,0.33,3.22,0.844,1,Other
2021-10-09,18.0,457377,782.0,143216,230737,0.5,0.31,0.092,0,Retail
2021-10-10,3.0,1769018,637.0,59960,276118,0.16,0.03,0.141,0,Services
2021-10-11,3.0,1258851,746.0,403823,47802,0.04,0.32,0.15,0,Retail
2021-10-12,12.0,648328,567.0,285587,5464,0.01,0.44,0.366,0,Manufacturing
2021-10-13,8.0,419723,716.0,241399,112224,0.27,0.58,0.238,1,Manufacturing
2021-10-14,19.0,1215054,527.0,64966,164498,0.14,0.05,0.247,0,Manufacturing
2021-10-15,2.0,271642,666.0,35212,172922,0.64,0.13,0.297,0,Services
2021-10-16,16.0,1753912,719.0,358328,56689,0.03,0.2,0.127,0,Manufacturing
2021-10-17,5.0,772630,840.0,157413,222040,0.29,0.2,0.305,0,Retail
2021-10-18,10.0,830156,576.0,236086,207511,0.25,0.28,0.375,1,Manufacturing
2021-10-19,8.0,186079,840.0,117510,201099,1.08,0.63,0.517,1,Retail
2021-10-20,15.0,1765049,706.0,337620,11580,0.01,0.19,0.161,0,Retail
2021-10-21,3.0,147379,548.0,84904,38992,0.26,0.58,0.431,1,Retail
2021-10-22,2.0,1666415,711.0,350350,142094,0.09,0.21,0.301,0,Retail
2021-10-23,7.0,937934,602.0,499466,89447,0.1,0.53,0.663,1,Services
2021-10-24,3.0,1877045,557.0,427322,164237,0.09,0.23,0.467,1,Other
2021-10-25,14.0,1071853,806.0,450490,28983,0.03,0.42,0.181,1,Other
2021-10-26,7.0,809617,714.0,314237,184789,0.23,0.39,0.287,0,Manufacturing
2021-10-27,8.0,555944,762.0,191792,142116,0.26,0.34,0.197,0,Retail
2021-10-28,6.0,1647627,588.0,397743,295750,0.18,0.24,0.411,1,Other
2021-10-29,5.0,621954,556.0,230226,259590,0.42,0.37,0.528,1,Manufacturing
2021-10-30,18.0,1450701,760.0,275882,53242,0.04,0.19,0.023,0,Manufacturing
2021-10-31,14.0,376001,610.0,293663,295196,0.79,0.78,0.535,1,Services
2021-11-01,4.0,990850,664.0,497588,163494,0.17,0.5,0.546,1,Retail
2021-11-02,6.0,878319,726.0,55943,42878,0.05,0.06,0.0,0,Retail
2021-11-03,4.0,171539,662.0,91540,1021,0.01,0.53,0.379,1,Other
2021-11-04,17.0,208422,552.0,417220,44496,0.21,2.0,0.551,1,Other
2021-11-05,14.0,1417290,717.0,491810,161559,0.11,0.35,0.186,1,Other
2021-11-06,2.0,1642560,801.0,165087,5809,0.0,0.1,0.0,0,Services
2021-11-07,2.0,114473,637.0,499150,134648,1.18,4.36,1.0,1,Services
2021-11-08,15.0,1616831,626.0,288214,92340,0.06,0.18,0.237,1,Services
2021-11-09,3.0,1555230,715.0,83281,48931,0.03,0.05,0.059,0,Manufacturing
2021-11-10,15.0,408421,515.0,284699,30478,0.07,0.7,0.48,1,Retail
2021-11-11,2.0,1810293,646.0,400462,214915,0.12,0.22,0.319,1,Manufacturing
2021-11-12,9.0,1907823,631.0,104318,201145,0.11,0.05,0.26,1,Retail
2021-11-13,19.0,1282159,565.0,44428,119488,0.09,0.03,0.28,1,Manufacturing
2021-11-14,18.0,308649,551.0,135792,281397,0.91,0.44,0.682,1,Retail
2021-11-15,10.0,877125,536.0,385413,153201,0.17,0.44,0.428,1,Other
2021-11-16,8.0,1225361,842.0,495006,98629,0.08,0.4,0.003,0,Manufacturing
2021-11-17,4.0,604321,600.0,12497,470,0.0,0.02,0.279,1,Manufacturing
2021-11-18,13.0,527402,612.0,110547,81209,0.15,0.21,0.408,1,Retail
2021-11-19,7.0,149786,599.0,52788,296734,1.98,0.35,0.944,1,Retail
